TUindex	tr_id	tr_TSS_pos	tr_TSS_strength	tr_TUorient	tr_TTS_pos	tr_rate	number of transcripts generated
0	0	28999	0.2	-1	28000	0.2	206
1	1	26179	0.2	-1	25180	0.2	188
2	2	23299	0.2	-1	22300	0.2	196
3	3	13541	0.2	1	14540	0.2	191
4	4	16541	0.2	1	17540	0.2	194
5	5	10301	0.2	1	11300	0.2	201
6	6	20479	0.2	-1	19480	0.2	204
7	7	1361	0.2	1	2360	0.2	109
8	8	4361	0.2	1	5360	0.2	174
9	9	7421	0.2	1	8420	0.2	209
